Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
"3,9-dibenzyl-2,4,8,1 0-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dioxide; 3,9-dibenzyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dioxide; bisbenzyl pentaerythritol diphosphonate; 3,9-bis(phenylmethyl)-3,9-dioxo-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane",O=P1(CC2=CC=CC=C2)OCC2(CO1)COP(=O)(CC1=CC=CC=C1)OC2,408.328,,10,20,"Patent; TEIJIN LIMITED; YAMANAKA, KATSUHIRO; TAKEDA, TSUYOSHI; IMAZATO, KENTA; (23 pag.)JP2016/216382; (2016); A;",water,Solubility: 0.001 g/100g,XRBKIMPIQSGVAO-UHFFFAOYSA-N
Luteolin-4'-O-glucoside; luteolin-4?-O-alpha-D-glucopyranoside; luteolin-4'-O-alpha-D-glucopyranoside; luteolin-4-O-glucoside,OC[C@H]1O[C@H](OC2=C(O)C=C(C=C2)C2=CC(=O)C3=C(O2)C=C(O)C=C3O)[C@H](O)[C@@H](O)[C@@H]1O,448.383,,380,23,"Article; Malbert, Yannick; Pizzut-Serin, Sandra; Massou, Stephane; Cambon, Emmanuelle; Laguerre, Sandrine; Monsan, Pierre; Lefoulon, Francois; Morel, Sandrine; Andre, Isabelle; Remaud-Simeon, Magali; ChemCatChem; vol. 6; 8; (2014); p. 2282 - 2291;",water,Solubility: 0.038 g/kg,UHNXUSWGOJMEFO-RQXATKFSSA-N
pentabromo-benzenesulfonic acid; Pentabrom-benzolsulfonsaeure,OS(=O)(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1Br,552.658,98137-88-3,5450,10,Article; Beckurts; Justus Liebigs Annalen der Chemie; vol. 181; (1876); p. 216;,H2O,100 g solvent dissolves. 0.545 g Substance.in reinem Loesungsmittel:Loeslichkeit fuer wasserfreie Saeure.,ZMOIAEHZILNVCK-UHFFFAOYSA-N
"2,4,6-tribromo-benzenesulfonic acid-anhydride; 2,4,6-Tribrom-benzolsulfonsaeure-anhydrid",BrC1=CC(Br)=C(C(Br)=C1)S(=O)(=O)OS(=O)(=O)C1=C(Br)C=C(Br)C=C1Br,771.717,,6900,5,Article; Baessmann; Justus Liebigs Annalen der Chemie; vol. 191; (1878); p. 206;,H2O,100 g solvent dissolves. 0.69 g Substance.in reinem Loesungsmittel:Loeslichkeit fuer wasserfreie Substabz.,XCRKOPMCMLTBCS-UHFFFAOYSA-N
mono(2-O-methyl)-beta-cyclodextrin; mono-2-O-methyl-beta-cyclodextrin; 2-O-methyl-beta-cyclodextrin; mono(2-O-methyl)-beta-CD,CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1149.02,,17000,24,Article; Jindrich; Pitha; Lindberg; Seffers; Harata; Carbohydrate Research; vol. 266; 1; (1995); p. 75 - 80;,H2O,Solubility: 1.70 weight-percent,IUEGIINSZOIKLH-VHDGQTQASA-N
3-chloro-cis-crotonic acid amide; 3-Chlor-cis-crotonsaeure-amid; (beta-Chlor-quartenylsaeure-amid); (E)-3-Chlor-crotonsaeure-amid; beta-Chlor-isocrotonsaeure-amid,C\C(Cl)=C/C(N)=O,119.551,,11627.91,15,Article; Autenrieth; Chemische Berichte; vol. 29; (1896); p. 1669;,H2O,1 part(s) of substance.dissolves in:86 parts of solvent.,SHRHYVZGVLDWBG-NSCUHMNNSA-N
(Z)-3-chloro-crotonic acid amide; (Z)-3-Chlor-crotonsaeure-amid; beta-Chlor-crotonsaeure-amid; (Chlortetracrylsaeure-amid); trans-3-Chlor-but-2-ensaeure-amid; cis-3-Chlor-but-2-ensaeure-amid,C\C(Cl)=C\C(N)=O,119.551,,45454.55,15,Article; Autenrieth; Chemische Berichte; vol. 29; (1896); p. 1669;,H2O,1 part(s) of substance.dissolves in:22 parts of solvent.,SHRHYVZGVLDWBG-IHWYPQMZSA-N
thionicotinic acid; Thionicotinsaeure,OC(=S)C1=CC=CN=C1,139.178,51087-03-7,5800,20,"Article; Grigorowskii; Kimen; Zhurnal Obshchei Khimii; vol. 18; (1948); p. 171,172; Chem.Abstr.; (1948); p. 7296;",H2O,Solubility :0.58 percent.,OWDHSOUPMJJTFN-UHFFFAOYSA-N
"3-(1-amino-ethylidene)-pyrrolidine-2,5-dione; 3-(1-Amino-aethyliden)-pyrrolidin-2,5-dion",C\C(N)=C1\CC(=O)NC1=O,140.142,,5128.21,15,Article; Guareschi; Jahresbericht ueber die Fortschritte der Chemie und Verwandter Theile Anderer Wissenschaften; (1897); p. 1599; Chemisches Zentralblatt; vol. 68; I; (1897); p. 283;,H2O,1 part(s) of substance.dissolves in:195 parts of solvent.,YWNOKZUESNGTHV-ONEGZZNKSA-N
(+/-)-threo-2-amino-3-methoxy-valeric acid; (+/-)-threo-2-Amino-3-methoxy-valeriansaeure,[H][C@@](N)(C(O)=O)[C@@]([H])(CC)OC,147.174,,238000,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 700; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,786; Chem.Abstr.; (1952); p. 11108;1953 1599;",H2O,100 g solvent dissolves. 23.8 g Substance.,NHWONKFMALPPKN-UHNVWZDZSA-N
(+/-)-erythro-2-amino-3-methoxy-valeric acid; (+/-)-erythro-2-Amino-3-methoxy-valeriansaeure,[H][C@@](N)(C(O)=O)[C@]([H])(CC)OC,147.174,,176000,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 700; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,786; Chem.Abstr.; (1952); p. 11108;1953 1599;",H2O,100 g solvent dissolves. 17.6 g Substance.,NHWONKFMALPPKN-WHFBIAKZSA-N
DL-erythro-3-hydroxy-aspartic acid-1-amide; (+/-)-erythro-3-Amino-2-hydroxy-bernsteinsaeure-4-amid; DL-erythro-3-Hydroxy-asparaginsaeure-1-amid,[H][C@](N)(C(N)=O)[C@]([H])(O)C(O)=O,148.119,32503-98-3,10526.32,20,Article; Chibnall; Cannan; Biochemical Journal; vol. 24; (1930); p. 953;,H2O,1 part(s) of substance.dissolves in:95 parts of solvent.,XTAAXERUXNEDCQ-NCGGTJAESA-N
"4,6-dimethylpyrimidine-2-carboxamide; 4,6-dimethyl-pyrimidine-2-carboxylic acid amide; 4,6-Dimethyl-pyrimidin-2-carbonsaeure-amid",CC1=CC(C)=NC(=N1)C(N)=O,151.168,73937-25-4,200000,20,"Article; Kloetzer; Monatshefte fuer Chemie; vol. 87; (1956); p. 526,531;",H2O,Solubility :20 percent.,GQSYNOBFTDVBDM-UHFFFAOYSA-N
"7-methyl-1,3,6,7-tetrahydro-purin-2-one; 7-Methyl-1,3,6,7-tetrahydro-purin-2-on",CN1C=NC2=C1CNC(=O)N2,152.156,,3891.05,18,Article; Tafel; Weinschenk; Chemische Berichte; vol. 33; (1900); p. 3370;,H2O,1 part(s) of substance.dissolves in:257 parts of solvent.,JKZCRRYDWTYVKN-UHFFFAOYSA-N
"3-methyl-1,3,6,7-tetrahydro-purin-2-one; 3-Methyl-1,3,6,7-tetrahydro-purin-2-on",CN1C2=C(CNC1=O)NC=N2,152.156,,7407.41,20,Article; Tafel; Weinschenk; Chemische Berichte; vol. 33; (1900); p. 3370;,H2O,1 part(s) of substance.dissolves in:ca.135 parts of solvent.,MYLDZDVBIMWMNX-UHFFFAOYSA-N
"1-methyl-1,3,6,7(9)-tetrahydro-purin-2-one; 1-methyl-1,3,6,7-tetrahydro-purin-2-one; 1-Methyl-1,3,6,7-tetrahydro-purin-2-on; 1,2-Dihydro-2-oxo-1-methyl-purin",CN1CC2=C(NC1=O)N=CN2,152.156,,5000,20,Article; Tafel; Herterich; Chemische Berichte; vol. 44; (1911); p. 1033;,H2O,1 part(s) of substance.dissolves in:200 parts of solvent.,GORCMWLJFRFHQR-UHFFFAOYSA-N
"3-(5-amino-1H-1,2,4-triazol-3-yl)propanoic acid; 3-(5-amino-1H-[1,2,4]triazol-3-yl)-propionic acid; beta-(5-Amino-1,2,4-triazol-3-yl)-propionsaeure",NC1=NC(CCC(O)=O)=NN1,156.144,,1940,6,"Review; Chernyshev, Victor M.; Chernysheva, Anna V.; Starikova, Zoya A.; Heterocycles; vol. 81; 10; (2010); p. 2291 - 2311;",water,Solubility: 0.194 g/100g solvent,AKCLMRLUECNBLP-UHFFFAOYSA-N
"3-(5-amino-1H-1,2,4-triazol-3-yl)propanoic acid; 3-(5-amino-1H-[1,2,4]triazol-3-yl)-propionic acid; beta-(5-Amino-1,2,4-triazol-3-yl)-propionsaeure",NC1=NC(CCC(O)=O)=NN1,156.144,,5100,25,"Review; Chernyshev, Victor M.; Chernysheva, Anna V.; Starikova, Zoya A.; Heterocycles; vol. 81; 10; (2010); p. 2291 - 2311;",water,Solubility: 0.51 g/100g solvent,AKCLMRLUECNBLP-UHFFFAOYSA-N
"5-methylsulfanyl-resorcinol; 3.5-Dihydroxy-1-methylmercapto-benzol; Methyl-(3.5-dihydroxy-phenyl)-sulfid; 5-Methylmercapto-resorcin; 1-Methylthio-3,5-dihydroxibenzol",CSC1=CC(O)=CC(O)=C1,156.205,54839-91-7,2500,20,"Article; Suter; Harrington; Journal of the American Chemical Society; vol. 59; (1937); p. 2575,2577;",H2O,100 g solvent dissolves. 0.25 g Substance.,QHMRZVIHLYUTOF-UHFFFAOYSA-N
2-propyl-hexanoic acid amide; 2-Propyl-hexansaeure-amid,CCCCC(CCC)C(N)=O,157.256,,850,15,Article; Sommaire; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 195;,H2O,100 g solvent dissolves. 0.085 g Substance.,CTLSDJVGEINEDE-UHFFFAOYSA-N
N-ethyl-norleucine; alpha-Aethylamino-n-capronsaeure; N-Aethyl-norleucin,CCCCC(NCC)C(O)=O,159.228,,107526.88,15,"Article; Duvillier; Annales de Chimie (Cachan, France); vol. <5> 29; (1883); p. 166;",H2O,1 part(s) of substance.dissolves in:9.3 parts of solvent.,IIVUKYTTXBEJRB-UHFFFAOYSA-N
"3-ethyl-heptane-3,4-diol; alpha.alpha-Diaethyl-alpha'-propyl-aethylenglykol; 3-Aethyl-heptan-3,4-diol",CCCC(O)C(O)(CC)CC,160.257,,23000,15,Article; Nicolle; Bulletin de la Societe Chimique de France; vol. <4>39; (1926); p. 65;,H2O,Solubility :2.3 percent.,HWALJNLYJCUKED-UHFFFAOYSA-N
ethylthiocarbamoyloxy-acetic acid; N-Aethyl-thiocarbaminylglykolsaeure; Aethylthiocarbamoyloxy-essigsaeure,CCNC(=S)OCC(O)=O,163.197,861567-42-2,66666.67,25,Article; Holmberg; Journal fuer Praktische Chemie (Leipzig); vol. <2>84; (1911); p. 665;,H2O,1 part(s) of substance.dissolves in:15 parts of solvent.,CRAIJSGBLFRGJJ-UHFFFAOYSA-N
(1R)-9-hydroxy-bornan-2-one; (1R)-9-Hydroxy-bornan-2-on; 9-Hydroxy-campher,CC1(CO)[C@@H]2CCC1(C)C(=O)C2,168.236,3751-95-9; 10334-06-2; 40724-36-5; 60966-80-5,80000,15,"Article; Asahina; Ishidate; Chemische Berichte; vol. 67; (1934); p. 71,75; Yakugaku Zasshi; vol. 54; (1934); p. 86,94;",H2O,Solubility :8 percent.,MANWHKQXMFYQDY-CUUXFQNZSA-N
,OC1CCCCC1OC(=O)C=C,170.208,23451-03-8,63000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 6.3 weight percent,IVDYCSFRQCNQRY-UHFFFAOYSA-N
2-allyl-3-methyl-succinic acid; 2-Allyl-3-methyl-bernsteinsaeure,CC(C(CC=C)C(O)=O)C(O)=O,172.181,16631-06-4,15151.51,20,Article; Hjelt; Chemische Berichte; vol. 25; (1892); p. 490;,H2O,1 part(s) of substance.dissolves in:66 parts of solvent.; high-melting form of/the/ alpha-methyl-alpha'-allyl-succinic acid,CZTPMDLWMYKCCU-UHFFFAOYSA-N
"3-ethyl-6-methyl-heptane-3,4-diol; 3-Aethyl-6-methyl-heptan-3,4-diol",CCC(O)(CC)C(O)CC(C)C,174.283,861365-81-3,4400,15,Article; Nicolle; Bulletin de la Societe Chimique de France; vol. <4>39; (1926); p. 65;,H2O,Solubility :0.44 percent.; dl-2-methyl-5-ethyl-heptanediol-(4.5),JINURNSPHNUGPC-UHFFFAOYSA-N
(+/-)-erythro-2-formylamino-3-methoxy-valeric acid; (+/-)-erythro-2-Formylamino-3-methoxy-valeriansaeure,[H][C@@](CC)(OC)[C@]([H])(NC=O)C(O)=O,175.185,,15600,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 1.56 g Substance.,WIONCOIGUOQELF-WDSKDSINSA-N
(+/-)-threo-2-formylamino-3-methoxy-valeric acid; (+/-)-threo-2-Formylamino-3-methoxy-valeriansaeure,[H][C@](CC)(OC)[C@]([H])(NC=O)C(O)=O,175.185,,11600,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 1.16 g Substance.,WIONCOIGUOQELF-RITPCOANSA-N
"2,4-dimethyl-3-thia-glutaric acid diamide; 2,4-Dimethyl-3-thia-glutarsaeure-diamid; alpha,alpha'-Dimethyl-thiodiessigsaeure-diamid",CC(SC(C)C(N)=O)C(N)=O,176.239,6944-30-5,21240.44,18,"Article; Loven; Chemische Berichte; vol. 29; (1896); p. 1133,1135;",H2O,1 part(s) of substance.dissolves in:47.08 parts of solvent.; diamide of/the/ inactive not/no cleavable thiodilactylic acid,LCVCMADEAZAEFX-UHFFFAOYSA-N
"2,4-dimethyl-3-thia-glutaric acid diamide; 2,4-Dimethyl-3-thia-glutarsaeure-diamid; alpha,alpha'-Dimethyl-thiodiessigsaeure-diamid",CC(SC(C)C(N)=O)C(N)=O,176.239,6944-30-5,51387.46,18,"Article; Loven; Chemische Berichte; vol. 29; (1896); p. 1133,1135;",H2O,1 part(s) of substance.dissolves in:19.46 parts of solvent.; diamide of/the/ inactive cleavable thiodilactylic acid,LCVCMADEAZAEFX-UHFFFAOYSA-N
7(9)H-purine-6-carboxamidrazone; 7(9)H-Purin-6-carbamidrazon,NN=C(N)C1=NC=NC2=C1NC=N2,177.168,120992-64-5,313.48,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 3932,3935;",H2O,3190 g solvent dissolves. 1 g Substance.,SLOONKAUXZHPQG-UHFFFAOYSA-N
3-ethyl-6-amino-phthalide; 3-Aethyl-6-amino-phthalid,CCC1OC(=O)C2=CC(N)=CC=C12,177.203,,570,25,"Article; Tasman; Recueil des Travaux Chimiques des Pays-Bas; vol. 46; (1927); p. 661,923;",H2O,Solubility :0.057 percent.,WMWIGVIIBXUIHE-UHFFFAOYSA-N
(carbamimidoyl-carbamoyl)-methanesulfonic acid; (Carbamimidoyl-carbamoyl)-methansulfonsaeure; Acetylguanidin-C-sulfonsaeure; Sulfoessigsaeure-guanidid; Sulfoacetyl-guanidin,NC(=N)NC(=O)CS(O)(=O)=O,181.172,859777-00-7,690,20,Article; Andreasch; Monatshefte fuer Chemie; vol. 43; (1922); p. 487;,H2O,100 part(s) of substance.dissolves in:0.069 parts of solvent.,MCVBDDQBKOMVIF-UHFFFAOYSA-N
4-amino-benzoic acid-(2-hydroxy-ethyl ester); 4-Amino-benzoesaeure-(2-hydroxy-aethylester); 1-(4-Amino-benzoyloxy)-aethanol-(2); 4-Amino-benzoesaeure-(beta-oxy-aethylester); Aethylenglykol-mono-(4-amino-benzoat),NC1=CC=C(C=C1)C(=O)OCCO,181.191,26495-98-7,2400,25,Article; Cretcher; Pittenger; Journal of the American Chemical Society; vol. 47; (1925); p. 2561;,H2O,Solubility :0.24 percent.,JVLRDGKWQRUKMB-UHFFFAOYSA-N
(4-amino-2-methyl-pyrimidin-5-ylmethyl)-urea; (4-Amino-2-methyl-pyrimidin-5-ylmethyl)-harnstoff; 2-methyl-5-ureidomethyl-pyrimidine-4-amine,CC1=NC=C(CNC(N)=O)C(N)=N1,181.197,36226-57-0,1000,25,"Article; Uematsu; Takamine Kenkyusho Nenpo; vol. 7; (1955); p. 132,133; Chem.Abstr.; (1956); p. 14455;",H2O,Solubility :0.1 percent.,UQBHKFIKVJTBDY-UHFFFAOYSA-N
"1-hydroxy-5,7-dimethyl-bicyclo[3.3.1]nonan-3-one; 1-Hydroxy-5,7-dimethyl-bicyclo[3.3.1]nonan-3-on",CC1CC2(C)CC(=O)CC(O)(C1)C2,182.263,,33333.33,25,"Article; Rabe; Appuhn; Chemische Berichte; vol. 76; (1943); p. 982,986;",H2O,1 part(s) of substance.dissolves in:30 parts of solvent.,JLGFNTDFBFTLPI-UHFFFAOYSA-N
"(6-methyl-2,4-dioxo-1,2,3,4-tetrahydro-pyrimidin-5-yl)-urea; (6-Methyl-2,4-dioxo-1,2,3,4-tetrahydro-pyrimidin-5-yl)-harnstoff",CC1=C(NC(N)=O)C(=O)NC(=O)N1,184.155,,1600,16,"Article; Behrend; Lehmann; Justus Liebigs Annalen der Chemie; vol. 253; (1889); p. 77,84;",H2O,100 g solvent dissolves. 0.16 g Substance.,IDBZRABRQPICFI-UHFFFAOYSA-N
3-bromo-3-chloro-acrylic acid; 3-Brom-3-chlor-acrylsaeure,OC(=O)\C=C(\Cl)Br,185.405,,57438.25,20,Article; Mabery; Lloyd; American Chemical Journal; vol. 3; (1881); p. 127;,H2O,1 part(s) of substance.dissolves in:17.41 parts of solvent.,FZUHXWTWXISPQG-OWOJBTEDSA-N
6-amino-toluene-2-sulfonic acid; 6-Amino-toluol-2-sulfonsaeure; 2-Aminotoluol-6-sulfonsaeure,CC1=C(C=CC=C1N)S(O)(=O)=O,187.219,6387-19-5,3412.97,22,Article; Pagel; Justus Liebigs Annalen der Chemie; vol. 176; (1875); p. 304;,H2O,1 part(s) of substance.dissolves in:293 parts of solvent.,KEISVHMIDOVJRP-UHFFFAOYSA-N
isopentyl-methyl-malonic acid; Isopentyl-methyl-malonsaeure,CC(C)CCC(C)(C(O)=O)C(O)=O,188.224,,6000,25,Article; Meldrum; Journal of Physical Chemistry; vol. 15; (1911); p. 479;,H2O,Solubility :0.6 percent.,KOHFIJRRRUCTFL-UHFFFAOYSA-N
N-(carboxyethyl)valine; N-(2-carboxy-ethyl)-valine; N-(2-Carboxy-aethyl)-valin,CC(C)C(NCCC(O)=O)C(O)=O,189.211,92402-78-3,24000,7,Article; McKinney et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 1942;,H2O,100 g solvent dissolves. 2.4 g Substance.,JQNOJPRGXMMBQO-UHFFFAOYSA-N
3-carbamoylazo-benzoic acid amide; 3-Carbamoylazo-benzoesaeure-amid; 3-Aminoformyl-benzolazoformamid; Benzamid-(3 azo)-formamid,NC(=O)\N=N\C1=CC=CC(=C1)C(N)=O,192.177,,700,15,Article; Doucet; Journal de Pharmacie et de Chimie; vol. <7>27; (1923); p. 364; Chemisches Zentralblatt; 1923 IV.386;,H2O,100 g solvent dissolves. 0.07 g Substance.,FYMCICGEGWOUKR-VAWYXSNFSA-N
N-ethyl-N-(2-ethyl-phenyl)-urea; N-Aethyl-N-(2-aethyl-phenyl)-harnstoff,CCN(C(N)=O)C1=C(CC)C=CC=C1,192.261,,18500,20,Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 68; (1940); p. 56;,H2O,100 g solvent dissolves. 1.85 g Substance.,PVCCTWLOCMALDY-UHFFFAOYSA-N
acetic acid-(4-ethoxy-2-methyl-anilide); Essigsaeure-(4-aethoxy-2-methyl-anilid); 6-Acetamino-3-aethoxy-toluol; 6-Acetamino-3-aethoxy-1-methyl-benzol; 4-Actamino-m-kresol-aethylaether,CCOC1=CC(C)=C(NC(C)=O)C=C1,193.246,41570-59-6,2800,25,Article; Bogert; Connitt; Journal of the American Chemical Society; vol. 51; (1929); p. 905;,H2O,0.28 part(s) of substance.dissolves in:100 parts of solvent.,GWGGYWFWMFMBKT-UHFFFAOYSA-N
"9-ethyl-6-methyl-1,7-dihydro-9H-purine-2,8-dione; 9-Aethyl-6-methyl-1,7-dihydro-9H-purin-2,8-dion",CCN1C(=O)NC2=C(C)NC(=O)N=C12,194.193,,2000,20,Article; Johns; Baumann; Journal of Biological Chemistry; vol. 15; (1913); p. 121;,H2O,1 part(s) of substance.dissolves in:500 parts of solvent.,RQFIKOVKIQITKN-UHFFFAOYSA-N
3-isopropyl-2-methyl-4-oxo-cyclohex-2-enecarboxylic acid; 2-Methyl-3-isopropyl-cyclohexen-(2)-on-(4)-carbonsaeure-(1); 3-Isopropyl-2-methyl-4-oxo-cyclohex-2-encarbonsaeure; 2-Methyl-3-methoaethyl-cyclohexen-(2)-on-(4)-carbonsaeure-(1); o-Menthen-(1)-on-(3)-carbonsaeure-(6),CC(C)C1=C(C)C(CCC1=O)C(O)=O,196.246,,2000,20,Article; Dieckmann; Chemische Berichte; vol. 45; (1912); p. 2686; Chemische Berichte; vol. 55; (1922); p. 2479;,H2O,1 part(s) of substance.dissolves in:500 parts of solvent.,CEPBYQYNGNEBGB-UHFFFAOYSA-N
"5-butyl-5-methyl-pyrimidine-2,4,6-trione; 5-butyl-5-methyl-barbituric acid; 5-Butyl-5-methyl-barbitursaeure; 5-Methyl-5-n-butyl-barbitursaeure",CCCCC1(C)C(=O)NC(=O)NC1=O,198.222,53943-60-5,1800,15,Article; Sommaire; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 195;,H2O,100 g solvent dissolves. 0.18 g Substance.,XJBUMFHGCCXBNP-UHFFFAOYSA-N
"5-butylsulfanyl-resorcinol; 3.5-Dihydroxy-1-butylmercapto-benzol; Butyl-(3.5-dihydroxy-phenyl)-sulfid; 5-Butylmercapto-resorcin; 1-n-Butylthio-3,5-dihydroxibenzol",CCCCSC1=CC(O)=CC(O)=C1,198.286,54839-92-8,600,20,"Article; Suter; Harrington; Journal of the American Chemical Society; vol. 59; (1937); p. 2575,2577;",H2O,100 g solvent dissolves. 0.06 g Substance.,OBUQICZSPJTRQI-UHFFFAOYSA-N
"(2,4,5-trimethyl-phenyl)-phosphonic acid; 1.2.4-Trimethyl-benzol-phosphinsaeure-(5); (2,4,5-Trimethyl-phenyl)-phosphonsaeure; 2.4.5-Trimethyl-phenylphosphinsaeure; Pseudocumol-phosphinsaeure-(5)",CC1=CC(C)=C(C=C1C)P(O)(O)=O,200.174,,8213,19,Article; Michaelis; Justus Liebigs Annalen der Chemie; vol. 294; (1897); p. 15;,H2O,0.8213 part(s) of substance.dissolves in:100 parts of solvent.,UUSSQAVJZFUZRC-UHFFFAOYSA-N
4-methylamino-toluene-3-sulfonic acid; 4-Methylamino-toluol-3-sulfonsaeure,CNC1=C(C=C(C)C=C1)S(O)(=O)=O,201.246,,11600,18,Article; Rassow; Reim; Journal fuer Praktische Chemie (Leipzig); vol. <2> 93; (1916); p. 238;,H2O,100 g solvent dissolves. 1.16 g Substance.,IXHFTUPDKSWOPQ-UHFFFAOYSA-N
2-lactoyloxy-propionic acid allyl ester; 2-Lactoyloxy-propionsaeure-allylester,CC(O)C(=O)OC(C)C(=O)OCC=C,202.207,6283-80-3,42000,25,Article; Rehberg; Dixon; Journal of the American Chemical Society; vol. 74; (1952); p. 1609;,H2O,1000 g solvent dissolves. 42 g Substance.,CPKMYVLHYLGADM-UHFFFAOYSA-N
"3,5-dimethyl-4-thia-hepta-2t,5t-dienedioic acid; 3,5-dimethyl-4-thia-hepta-2,5-dienedioic acid; 3,5-Dimethyl-4-thia-hepta-2t,5t-diendisaeure; Bis-((E)-2-carboxy-1-methyl-vinyl)-sulfid; Bis-(alpha-methyl-beta-carboxy-vinyl)-sulfid; 3,5-Dimethyl-4-thia-hepta-2,5-diendisaeure; beta.beta'-Thio-dicrotonsaeure",C\C(S\C(C)=C\C(O)=O)=C/C(O)=O,202.231,7345-19-9,1000,25,Article; Scheibler; Bube; Chemische Berichte; vol. 48; (1915); p. 1456;,H2O,1 part(s) of substance.dissolves in:1000 parts of solvent.,GBZKICBSIONZCF-GGWOSOGESA-N
6-trifluoromethyl-7(9)H-purin-2-ylamine; 6-Trifluormethyl-7(9)H-purin-2-ylamin,NC1=NC2=C(NC=N2)C(=N1)C(F)(F)F,203.126,2993-20-6,149.25,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 5744,5751;",H2O,6700 g solvent dissolves. 1 g Substance.,BPGSASFKCZQNNZ-UHFFFAOYSA-N
(7(9)H-purin-6-yl)-carbamic acid ethyl ester; (7(9)H-Purin-6-yl)-carbamidsaeure-aethylester; 6-Aethoxycarbonylaminopurin,CCOC(=O)NC1=C2NC=NC2=NC=N1,207.192,29767-72-4,238.1,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 3932,3935;",H2O,4200 g solvent dissolves. 1 g Substance.,UZDTUTWDEFBFHJ-UHFFFAOYSA-N
2-(carbamimidoyl-carbamoyl)-propane-2-sulfonic acid; 2-(Carbamimidoyl-carbamoyl)-propan-2-sulfonsaeure; Isobutyrylguanidin-alpha-sulfonsaeure; (alpha-Sulfo-isobutyryl)-guanidin,CC(C)(C(=O)NC(N)=N)S(O)(=O)=O,209.226,856084-69-0,13333.33,20,Article; Andreasch; Monatshefte fuer Chemie; vol. 46; (1925); p. 27;,H2O,1 part(s) of substance.dissolves in:75 parts of solvent.,BQMXAUOJNFZXPY-UHFFFAOYSA-N
(4-propoxy-phenoxy)-acetic acid; (4-Propoxy-phenoxy)-essigsaeure,CCCOC1=CC=C(OCC(O)=O)C=C1,210.23,,1000,20,"Article; Nametkin et al.; Zhurnal Obshchei Khimii; vol. 21; (1951); p. 327,328; engl. Ausg. S. 359, 360;",H2O,100 g solvent dissolves. 0.1 g Substance.,ZOZBDXUBFHRCQD-UHFFFAOYSA-N
N-(furan-2-carbonyl)-alanin-ethyl ester; N-(Furan-2-carbonyl)-alanin-aethylester; N-(2-Furancarbonyl)-(+/-)-alanin-ethylester,CCOC(=O)C(C)NC(=O)C1=CC=CO1,211.218,39978-21-7,16641.7,17,Article; Baum; Chemische Berichte; vol. 37; (1904); p. 2955;,H2O,1 part(s) of substance.dissolves in:60.09 parts of solvent.,OPKQHVFOHFHTAI-UHFFFAOYSA-N
2-arsono-butyric acid; 2-Arsono-buttersaeure,CCC(C(O)=O)[As](O)(O)=O,212.034,,2626000,20,Article; Backer; Mulder; Recueil des Travaux Chimiques des Pays-Bas; vol. 55; (1936); p. 362;,H2O,100 g solvent dissolves. 262.6 g Substance.; (+-)-2-arsono-butyric acid,WSCIUENQKYEJSG-UHFFFAOYSA-N
